Published,Type,Conference,Title,Speaker,Duration,DurationInMinutes,Link
1 year ago,talk,NDC Oslo 2021,Building GraphQL APIs in C#,Brandon Minnick,58:53,59,https://youtube.com/watch?v=9Nn0OkLQ9lM
1 year ago,talk,Unknown,ClojureScript: Fun and productive web development with next level tooling,Christian Johansen,49:19,49,https://youtube.com/watch?v=yFVk3D76wQw
1 year ago,talk,NDC Oslo 2021,Yarn Berry: a next generation package manager,Michael Richardson,50:49,51,https://youtube.com/watch?v=UxrwfTchPJ8
1 year ago,talk,NDC Oslo 2021,Logging Apache Spark   How we made it easy,Simona Meriam,13:04,13,https://youtube.com/watch?v=1C-0HH5cw8A
1 year ago,talk,NDC Oslo 2021,Improve your IaC game in Azure with Template Specs,Børge Wiik,11:48,12,https://youtube.com/watch?v=EI7WEhJ4DCY
1 year ago,talk,NDC Oslo 2021,How do I start a sustainability community in my organisation,Sara Bergman,9:30,10,https://youtube.com/watch?v=2E4H2yg6yPc
1 year ago,talk,NDC Oslo 2021,Securing your  NET application software supply chain,Niels Tanis,57:45,58,https://youtube.com/watch?v=AFa-P9tvag4
1 year ago,talk,NDC Oslo 2021,Whodunit? A performance murder mystery,Thomas Heartman,44:06,44,https://youtube.com/watch?v=d_SU5IOkhQU
1 year ago,talk,Unknown,Learnings from the Enterprise-level Kubernetes transformation at Elkjøp Nordic,Fredrik Klingenberg,1:01:49,62,https://youtube.com/watch?v=IVdNZg9LicI
1 year ago,talk,NDC Oslo 202,Managing your settings in a secure way using Azure App Configuration,Cecilia Wirén,45:31,46,https://youtube.com/watch?v=i0khx8R1XcE
1 year ago,talk,NDC Oslo 2021,Defence in depth as Code,Tobias Ahnoff & Martin Altenstedt,50:27,50,https://youtube.com/watch?v=5nQ00_z0hF4
1 year ago,talk,NDC Oslo 2021,Deep dive in Durable Functions,Laurent Bugnion,57:49,58,https://youtube.com/watch?v=0GQwtUYMpzU
1 year ago,talk,NDC Oslo 2021,Rethinking Reactive Architectures,David Leitner,54:54,55,https://youtube.com/watch?v=L1Zgfr6bFvA
1 year ago,talk,NDC Oslo 2021,Automating a service worker with Workbox 6,Maxim Salnikov,51:23,51,https://youtube.com/watch?v=LILGt_pHk9M
1 year ago,talk,NDC Oslo 2021,"Why you need an API, and what to do about it",Glenn Henriksen,49:00,49,https://youtube.com/watch?v=cGiLWfpj4hA
1 year ago,talk,NDC Oslo 2021,The Untruthful Art: Five ways of misrepresenting Data,Alexander Arvidsson,55:42,56,https://youtube.com/watch?v=M4S5epTJAIo
